iteration,cumulative_seconds,relative_gap
598,14.6880195141,1.541209320791e-03
599,14.7311871052,1.498850035806e-03
600,14.7700359821,1.512410460255e-03
601,14.8248088360,1.492212466886e-03
602,14.8690264225,1.535862448463e-03
603,14.9079976082,1.545936835526e-03
604,14.9472274780,1.503125100374e-03
605,14.9946537018,1.500292122246e-03
606,15.0323848724,1.533781371572e-03
607,15.0738401413,1.488366078403e-03
608,15.1200456619,1.459249559054e-03
609,15.1608026028,1.502139732243e-03
610,15.1975007057,1.498810777302e-03
611,15.2479672432,1.476660692219e-03
612,15.3001508713,1.494492210153e-03
613,15.3583030701,1.455552668612e-03
614,15.3960962296,1.545641335109e-03
615,15.4365456104,1.486795952325e-03
616,15.4812550545,1.452658579910e-03
617,15.5205938816,1.508093754415e-03
618,15.5615196228,1.452138238009e-03
619,15.5916135311,1.471247807339e-03
620,15.6259877682,1.494229603165e-03
621,15.6659188271,1.438673270048e-03
622,15.7001221180,1.454007993799e-03
623,15.7298281193,1.472211713593e-03
624,15.7618730068,1.451995549272e-03
625,15.7934055328,1.418682737118e-03
626,15.8342609406,1.468502504982e-03
627,15.8653616905,1.476346035456e-03
628,15.9021267891,1.441830028013e-03
629,15.9384756088,1.450916017202e-03
630,15.9679849148,1.397136162327e-03
631,16.0078930855,1.412483718644e-03
632,16.0660059452,1.478470144972e-03
633,16.1145107746,1.407964723149e-03
634,16.1661002636,1.435209914763e-03
635,16.2202980518,1.461939067921e-03
636,16.2666177750,1.414937691019e-03
637,16.3177311420,1.448001077037e-03
638,16.3561351299,1.443034781239e-03
639,16.4014344215,1.411379908088e-03
640,16.4525213242,1.419632199347e-03
641,16.5003993511,1.417966647241e-03
642,16.5459024906,1.397391894251e-03
643,16.6015052795,1.450200447030e-03
644,16.6617660522,1.375131321699e-03
645,16.7131185532,1.410175476583e-03
646,16.7476997375,1.443193476541e-03
647,16.7815518379,1.391495829803e-03
648,16.8103401661,1.397425154302e-03
649,16.8477947712,1.388245664194e-03
650,16.8865606785,1.419043702602e-03
651,16.9152200222,1.402939269168e-03
652,16.9477441311,1.395472947132e-03
653,16.9843351841,1.388929034682e-03
654,17.0353775024,1.406089578182e-03
655,17.0641632080,1.410825387679e-03
656,17.1001780033,1.387973808085e-03
657,17.1398305893,1.355079238437e-03
658,17.1889081001,1.395979846774e-03
659,17.2383100986,1.385777341486e-03
660,17.2861413956,1.401606261932e-03
661,17.3269166946,1.363442148308e-03
662,17.3677072525,1.382271739031e-03
663,17.4081327915,1.391695756878e-03
664,17.4527945518,1.354943894582e-03
665,17.4970629215,1.357716700732e-03
666,17.5365490913,1.370911489994e-03
667,17.5722403526,1.350302524747e-03
668,17.6186976433,1.367406258434e-03
669,17.6633064747,1.347815921577e-03
670,17.7027640343,1.370860699140e-03
671,17.7474043369,1.346274808082e-03
672,17.7931458950,1.324258927034e-03
673,17.8384141922,1.365832493698e-03
674,17.8683094978,1.350625500174e-03
675,17.9082853794,1.325689824969e-03
676,17.9567897320,1.421672650541e-03
677,17.9995508194,1.335949897871e-03
678,18.0492467880,1.328601352217e-03
679,18.0919022560,1.346670864296e-03
680,18.1243495941,1.369623304492e-03
681,18.1575996876,1.347516915783e-03
682,18.1996054649,1.325079982104e-03
683,18.2354381084,1.303631185700e-03
684,18.2709689140,1.344675707225e-03
685,18.3096549511,1.312791634839e-03
686,18.3497965336,1.333588876109e-03
687,18.3944463730,1.322910370454e-03
688,18.4427337646,1.298845639806e-03
689,18.4723546505,1.322004497398e-03
690,18.5204708576,1.323774933393e-03
691,18.5699989796,1.327441398579e-03
692,18.6072051525,1.317763123527e-03
693,18.6351764202,1.291001894535e-03
694,18.6820080280,1.333745555153e-03
695,18.7209975719,1.301391758430e-03
696,18.7599086761,1.265219077586e-03
697,18.7988522053,1.317601902403e-03
698,18.8409931660,1.308634708824e-03
699,18.8821356297,1.284061310354e-03
700,18.9147620201,1.305642095683e-03
701,18.9493672848,1.320800772027e-03
702,18.9836549759,1.272439520730e-03
703,19.0275170803,1.314949054596e-03
704,19.0715520382,1.294073725177e-03
705,19.1144213676,1.324379436122e-03
706,19.1493906975,1.313058751498e-03
707,19.1839311123,1.268479007580e-03
708,19.2218329906,1.303197067344e-03
709,19.2631666660,1.297076254765e-03
710,19.3097896576,1.299589447955e-03
711,19.3443205357,1.280151631964e-03
712,19.3843853474,1.288314922052e-03
713,19.4276907444,1.252453774107e-03
714,19.4681956768,1.274187447821e-03
715,19.5172250271,1.302595018212e-03
716,19.5543534756,1.254981599281e-03
717,19.5959234238,1.242793296076e-03
718,19.6304974556,1.313991667897e-03
719,19.6617162228,1.261634638415e-03
720,19.6937308311,1.279835342386e-03
721,19.7321734428,1.278325940518e-03
722,19.7656021118,1.229181371911e-03
723,19.8079690933,1.247796727135e-03
724,19.8687527180,1.270281226413e-03
725,19.9015789032,1.232490232898e-03
726,19.9310121536,1.246561393017e-03
727,19.9780244827,1.221867417902e-03
728,20.0159125328,1.228232496577e-03
729,20.0618779659,1.249914032441e-03
730,20.0996837616,1.225214077210e-03
731,20.1281979084,1.244697910138e-03
